codec,corpus,direction,level,block,ratio,throughput_MBps,p50_us,p99_us,p999_us,cpu_frac,cores_freed
sw-zstd,ingress-3-77388b.bin,compress,3,65536,0.3107,529.0,123.40,126.98,127.70,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,3,65536,0.3107,969.0,67.72,72.74,72.81,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,3,131072,0.3584,575.4,133.98,138.78,139.62,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,3,131072,0.3584,957.6,80.89,82.26,82.40,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,3,0,0.3584,575.6,133.89,140.56,142.73,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,3,0,0.3584,957.3,80.87,82.64,82.76,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,6,8192,0.0979,174.3,46.87,49.12,49.25,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,6,8192,0.0979,1404.2,5.75,6.06,7.86,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,6,16384,0.1124,154.3,105.93,109.14,109.22,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,6,16384,0.1124,1187.1,13.75,14.53,16.11,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,6,32768,0.1281,182.0,178.11,190.02,192.68,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,6,32768,0.1281,1112.0,29.27,34.72,35.18,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,6,65536,0.2731,166.3,392.91,415.71,417.58,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,6,65536,0.2731,920.1,71.12,73.96,74.63,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,6,131072,0.2731,157.3,490.73,515.66,517.63,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,6,131072,0.2731,925.3,83.66,86.03,86.28,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,6,0,0.2731,157.0,490.94,511.09,513.81,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,6,0,0.2731,926.7,83.59,84.99,85.14,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,9,8192,0.0979,30.0,272.74,278.68,279.28,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,9,8192,0.0979,1410.1,5.75,6.01,6.01,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,9,16384,0.1124,23.8,688.93,695.88,696.82,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,9,16384,0.1124,1184.7,13.74,16.58,17.43,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,9,32768,0.1266,74.4,440.43,457.72,465.30,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,9,32768,0.1266,1116.2,29.27,30.61,33.45,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,9,65536,0.2632,79.5,824.00,858.84,869.26,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,9,65536,0.2632,1027.7,63.72,64.97,65.03,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,9,131072,0.2677,79.5,974.83,991.57,994.04,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,9,131072,0.2677,941.4,82.40,83.92,84.11,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,9,0,0.2677,79.4,974.91,993.41,995.14,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,9,0,0.2677,939.6,82.39,85.44,86.05,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,1,8192,0.1877,365.7,22.37,23.60,24.20,1.001,0.000
sw-zstd,ingress-2-12575b.bin,decompress,1,8192,0.1877,747.3,10.93,11.75,11.75,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,1,16384,0.3191,420.8,29.79,31.29,34.00,1.001,0.000
sw-zstd,ingress-2-12575b.bin,decompress,1,16384,0.3191,862.2,14.54,15.49,18.63,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,1,32768,0.3191,421.6,29.79,31.82,32.12,1.001,0.000
sw-zstd,ingress-2-12575b.bin,decompress,1,32768,0.3191,862.7,14.52,16.39,18.36,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,1,65536,0.3191,422.6,29.70,30.80,30.87,1.001,0.000
sw-zstd,ingress-2-12575b.bin,decompress,1,65536,0.3191,864.8,14.51,16.39,16.40,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,1,131072,0.3191,421.4,29.72,33.89,34.18,1.001,0.000
sw-zstd,ingress-2-12575b.bin,decompress,1,131072,0.3191,862.8,14.52,15.38,18.16,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,1,0,0.3191,422.4,29.72,30.59,31.11,1.001,0.000
sw-zstd,ingress-2-12575b.bin,decompress,1,0,0.3191,866.1,14.51,15.30,15.34,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,3,8192,0.2059,352.5,23.21,24.06,24.23,1.001,0.000
sw-zstd,ingress-2-12575b.bin,decompress,3,8192,0.2059,761.6,10.73,11.66,14.51,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,3,16384,0.3512,344.1,36.50,37.77,37.85,1.001,0.000
sw-zstd,ingress-2-12575b.bin,decompress,3,16384,0.3512,851.2,14.81,15.25,15.29,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,3,32768,0.3512,345.7,36.32,37.65,38.29,1.001,0.000
sw-zstd,ingress-2-12575b.bin,decompress,3,32768,0.3512,854.0,14.74,16.25,16.67,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,3,65536,0.3512,345.8,36.30,37.88,38.04,1.001,0.000
sw-zstd,ingress-2-12575b.bin,decompress,3,65536,0.3512,849.9,14.78,15.75,18.43,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,3,131072,0.3512,345.6,36.34,37.43,37.65,1.001,0.000
sw-zstd,ingress-2-12575b.bin,decompress,3,131072,0.3512,847.5,14.82,15.59,18.70,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,3,0,0.3512,345.7,36.33,37.88,38.44,1.001,0.000
sw-zstd,ingress-2-12575b.bin,decompress,3,0,0.3512,847.6,14.81,16.51,18.40,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,6,8192,0.1591,132.5,61.66,66.17,66.27,1.000,0.000
sw-zstd,ingress-2-12575b.bin,decompress,6,8192,0.1591,1040.3,7.85,7.93,7.93,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,6,16384,0.3096,130.7,96.11,100.76,103.23,1.000,0.000
sw-zstd,ingress-2-12575b.bin,decompress,6,16384,0.3096,871.8,14.38,15.20,18.35,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,6,32768,0.3096,131.7,95.35,98.06,98.34,1.000,0.000
sw-zstd,ingress-2-12575b.bin,decompress,6,32768,0.3096,871.2,14.37,16.97,18.16,1.001,0.000
sw-zstd,ingress-2-12575b.bin,compress,6,65536,0.3096,131.5,95.33,100.97,102.31,1.000,0.000
sw-zstd,ingress-2-12575b.bin,decompress,6,65536,0.3096,875.0,14.36,15.10,15.15,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,6,131072,0.3096,131.5,95.52,99.66,100.95,1.000,0.000
sw-zstd,ingress-2-12575b.bin,decompress,6,131072,0.3096,874.6,14.36,15.26,15.93,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,6,0,0.3096,131.7,95.42,99.27,100.44,1.000,0.000
sw-zstd,ingress-2-12575b.bin,decompress,6,0,0.3096,874.3,14.37,15.11,15.16,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,9,8192,0.1591,25.1,325.99,333.23,333.30,1.000,0.000
sw-zstd,ingress-2-12575b.bin,decompress,9,8192,0.1591,1041.8,7.86,7.95,7.97,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,9,16384,0.3096,31.2,402.12,411.94,412.63,1.000,0.000
sw-zstd,ingress-2-12575b.bin,decompress,9,16384,0.3096,874.5,14.37,15.10,15.21,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,9,32768,0.3096,31.3,401.22,411.20,411.44,1.000,0.000
sw-zstd,ingress-2-12575b.bin,decompress,9,32768,0.3096,875.8,14.35,15.15,15.20,1.000,0.000
sw-zstd,ingress-2-12575b.bin,compress,9,65536,0.3096,31.3,401.85,409.69,409.95,1.000,0.000
sw-zstd,ingress-2-12575b.bin,decompress,9,65536,0.3096,871.7,14.35,18.74,19.40,1.000,0.000
